sku_code,app_name,category,subcategory,price
ZMYFDMEATSLMWHL01,Salmon,Meaty Treats,,200
ZMYFDMEATBEFWHL01,Beef,Meaty Treats,,200
ZMYFDMEATDCKWHL01,Duck,Meaty Treats,,200
ZMYFDMEATCHKWHL01,Chicken,Meaty Treats,,200
ZMYFDJRKCHKWHL01,Chicken Jerky,Tasty Treats,,300
ZMYFDJRKDCKWHL01,Duck Jerky,Tasty Treats,,300
ZMYFDJRKCHKCAR01,Chicken Carrot,Super Duo Bites,,300
ZMYFDJRKDCKCAR01,Duck Carrot,Super Duo Bites,,300
ZMYFDJRKDCKPER01,Duck Pear,Super Duo Bites,,300
ZMYFDFDRSLMCUB01,Salmon Cubes,Freeze Dried,Fish,170
ZMYFDFDRCAPWHL01,Capelin,Freeze Dried,Fish,170
ZMYFDFDRLMBLVR01,Lamb Liver Cubes,Freeze Dried,Meats,170
ZMYFDFDRDCKBRT01,Duck Breast Cubes,Freeze Dried,Meats,170
ZMYFDFDRCHKBRT01,Chicken Breast Cubes,Freeze Dried,Meats,170
ZMYFDFDRCHKLVR01,Chicken Liver Cubes,Freeze Dried,Meats,170
ZMYFDFDRBEFLVR01,Beef Liver Cubes,Freeze Dried,Meats,170
ZMYFDFDRCGRCUB01,Cat Grass Cubes,Freeze Dried,Cat Grass / Yogurt,170
ZMYFDFDRCGRSTK01,Cat Grass Stick,Freeze Dried,Cat Grass / Yogurt,170
ZMYFDFDRYOGWHL01,Yoghurt Cubes,Freeze Dried,Cat Grass / Yogurt,170
ZMYFDFDRDCKAPP01,Duck Apple,Freeze Dried,Super Food,170
ZMYFDFDRDCKPER01,Duck Pear,Freeze Dried,Super Food,170
ZMYFDFDRCHKCRA01,Chicken Cranberry,Freeze Dried,Super Food,170
ZMYFDFDRCHKPUM01,Chicken Pumpkin,Freeze Dried,Super Food,170
ZMYFDFDRSLMWHL01,Salmon Steak,Freeze Dried,Super Food,170
ZMYFDFDRCHKEGG01,Chicken & Egg,Freeze Dried,Super Food,170
ZMYFDFDRBEFBLU01,Beef Blueberry,Freeze Dried,Super Food,170
