SKU Code,Status,Product Name,Brand,Category,Format / Product Line,Protein,Cut,Size,Unit,Seq No.,Bundle?,Bundle Qty,Barcode,Image,Date Added,Decoded Description,Notes
ZMYFDFDRCHKBRT01,Active,Freeze-Dried Chicken Breast Cubes ,ZMY,FD,FDR,CHK,BRT,40,G,01,No,,731788893071,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | Chicken | Breast | 40g | Variant 01,Example - first chicken breast recipe
ZMYFDFDRCHKLVR01,Active,Freeze-Dried Chicken Liver Cubes ,ZMY,FD,FDR,CHK,LVR,40,G,01,No,,731788893088,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | Chicken | Liver | 40g | Variant 01,"Example - same protein+cut, disambiguated via Seq No."
ZMYFDFDRDCKBRT01,Active,Freeze-Dried Duck Breast Cubes ,ZMY,FD,FDR,DCK,BRT,40,G,01,No,,731788893095,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | Duck | Breast | 40g | Variant 01,"Example - different cut, Seq No. resets to 01"
ZMYFDFDRBEFLVR01,Active,Freeze-Dried Beef Liver Cubes ,ZMY,FD,FDR,BEF,LVR,40,G,01,No,,731788893101,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | Beef | Liver | 40g | Variant 01,
ZMYFDFDRLMBLVR01,Active,Freeze-Dried Lamb Liver Cubes ,ZMY,FD,FDR,LMB,LVR,40,G,01,No,,731788893118,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | Lamb | Liver | 40g | Variant 01,
ZMYFDFDRCGRCUB01,Active,Freeze-Dried Cat Grass Cubes ,ZMY,FD,FDR,CGR,CUB,40,G,01,No,,731788893125,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | CGR | CUB | 40g | Variant 01,
ZMYFDFDRCGRSTK01,Active,Freeze-Dried Cat Grass Stick ,ZMY,FD,FDR,CGR,STK,40,G,01,No,,731788893132,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | CGR | Steak | 40g | Variant 01,
ZMYFDFDRYOGWHL01,Active,Freeze-Dried Yoghurt Cubes ,ZMY,FD,FDR,YOG,WHL,40,G,01,No,,731788893149,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | YOG | Whole / Mixed (Default) | 40g | Variant 01,
ZMYFDFDRCAPWHL01,Active,Freeze-Dried Capelin,ZMY,FD,FDR,CAP,WHL,40,G,01,No,,731788893156,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | CAP | Whole / Mixed (Default) | 40g | Variant 01,
ZMYFDFDRSLMCUB01,Active,Freeze-Dried Salmon Cubes,ZMY,FD,FDR,SLM,CUB,40,G,01,No,,731788893163,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | Salmon | CUB | 40g | Variant 01,
ZMYFDFDRSLMWHL01,Active,Freeze-Dried Salmon Steak,ZMY,FD,FDR,SLM,WHL,40,G,01,No,,731788893170,,2026-08-14,Zoomy | Food & Treats | Freeze-Dried | Salmon | Whole / Mixed (Default) | 40g | Variant 01,
